country_name,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,2022,1.281,NA,0.228,54.875,0.368,NA,0.733,0.206,0.576
Albania,2022,5.212,9.626,0.724,69.175,0.802,-0.066,0.846,0.547,0.255
Argentina,2022,6.261,10.011,0.893,67.25,0.825,-0.128,0.81,0.724,0.284
Armenia,2022,5.382,9.668,0.811,67.925,0.79,-0.154,0.705,0.531,0.549
Australia,2022,7.035,10.854,0.942,71.125,0.854,0.153,0.545,0.711,0.244
Austria,2022,6.999,10.939,0.876,71.275,0.856,0.139,0.524,0.718,0.226
Bangladesh,2022,3.408,8.743,0.404,64.675,0.865,-0.055,0.617,0.394,0.448
Belgium,2022,6.857,10.878,0.923,71.05,0.89,0.097,0.483,0.718,0.235
Benin,2022,4.217,8.137,0.366,56.4,0.714,-0.03,0.58,0.571,0.444
Bolivia,2022,5.929,9.014,0.824,63.75,0.865,-0.08,0.84,0.738,0.426
Botswana,2022,3.435,9.629,0.75,54.725,0.739,-0.215,0.831,0.623,0.287
Brazil,2022,6.257,9.611,0.866,65.925,0.83,-0.061,0.742,0.681,0.341
Bulgaria,2022,5.378,10.138,0.953,66.6,0.741,-0.145,0.942,0.582,0.165
Cambodia,2022,4.25,8.415,0.784,62.1,0.946,0.154,0.86,0.756,0.388
Cameroon,2022,4.712,8.227,0.629,56.525,0.675,0.025,0.849,0.586,0.362
Canada,2022,6.918,10.803,0.929,71.45,0.838,0.222,0.442,0.719,0.287
Chad,2022,4.397,7.261,0.72,53.125,0.679,0.221,0.805,0.588,0.499
Chile,2022,6.415,10.154,0.887,70.45,0.793,-0.011,0.796,0.775,0.253
Colombia,2022,5.892,9.66,0.877,69.525,0.799,-0.162,0.863,0.762,0.306
Comoros,2022,3.545,8.075,0.472,59.425,0.481,-0.014,0.732,0.603,0.352
Congo (Brazzaville),2022,5.805,8.077,0.646,57.175,0.698,0.028,0.76,0.583,0.477
Congo (Kinshasa),2022,3.207,7.007,0.654,55.375,0.664,0.086,0.836,0.563,0.461
Costa Rica,2022,7.077,9.998,0.902,70,0.91,-0.047,0.751,0.793,0.272
Croatia,2022,5.579,10.458,0.91,69.125,0.593,-0.213,0.875,0.573,0.267
Cyprus,2022,5.865,NA,0.82,73,0.698,NA,0.887,0.659,0.297
Czechia,2022,6.695,10.656,0.944,69.175,0.908,0.094,0.831,0.743,0.246
Denmark,2022,7.545,10.994,0.97,71.375,0.93,0.224,0.203,0.787,0.205
Dominican Republic,2022,5.518,9.874,0.82,64.6,0.853,-0.084,0.656,0.723,0.306
Ecuador,2022,5.887,9.29,0.825,69.25,0.759,-0.08,0.866,0.777,0.356
Egypt,2022,4.024,9.404,0.769,63.75,0.733,-0.208,NA,0.486,0.307
El Salvador,2022,6.492,9.135,0.772,65.95,0.914,-0.112,0.621,0.823,0.296
Estonia,2022,6.357,10.571,0.933,69.875,0.904,0.136,0.39,0.767,0.187
Ethiopia,2022,3.628,7.757,0.74,61.1,0.674,0.361,0.793,0.56,0.335
Finland,2022,7.729,10.814,0.974,71.225,0.959,0.102,0.19,0.741,0.191
France,2022,6.614,10.737,0.866,72.4,0.798,-0.025,0.533,0.688,0.249
Gabon,2022,5.14,9.539,0.775,58.575,0.699,-0.164,0.803,0.661,0.414
Gambia,2022,4.279,7.648,0.588,57.9,0.599,0.364,0.884,0.722,0.438
Georgia,2022,5.293,9.746,0.754,65.075,0.821,-0.253,0.655,0.503,0.233
Germany,2022,6.608,10.899,0.916,71.5,0.895,0.081,0.417,0.668,0.201
Ghana,2022,4.191,8.615,0.628,59.125,0.786,0.117,0.909,0.62,0.292
Greece,2022,5.9,10.364,0.875,71.275,0.563,-0.316,0.874,0.589,0.183
Guatemala,2022,6.15,9.116,0.806,62.9,0.856,-0.057,0.835,0.835,0.263
Guinea,2022,5.317,7.9,0.582,54.65,0.729,0.139,0.77,0.699,0.492
Honduras,2022,5.932,8.645,0.729,64.275,0.851,0.081,0.834,0.775,0.289
Hungary,2022,5.861,10.484,0.937,67.65,0.776,-0.008,0.848,0.628,0.25
Iceland,2022,7.449,10.935,0.985,72.075,0.936,0.222,0.692,0.768,0.178
India,2022,3.93,8.85,0.608,61.2,0.893,0.09,0.771,0.596,0.432
Indonesia,2022,5.585,9.425,0.834,63.175,0.903,0.519,0.862,0.818,0.269
Iran,2022,4.977,9.638,0.8,66.75,0.57,0.212,0.766,0.521,0.466
Ireland,2022,6.87,11.625,0.906,71.4,0.895,0.14,0.358,0.738,0.234
Israel,2022,7.662,10.692,0.954,72.85,0.775,-0.005,0.655,0.583,0.183
Italy,2022,6.258,10.685,0.869,72.125,0.711,0.028,0.819,0.624,0.298
Ivory Coast,2022,4.849,8.612,0.536,56.525,0.713,-0.005,0.743,0.629,0.399
Jamaica,2022,5.87,9.198,0.868,66.6,0.874,-0.088,0.91,0.718,0.269
Japan,2022,6.178,10.636,0.899,74.475,0.789,-0.235,0.643,0.67,0.165
Jordan,2022,4.356,9.134,0.774,67.6,0.759,-0.153,0.715,0.521,0.435
Kazakhstan,2022,6.006,10.187,0.923,66.2,0.883,0.022,0.72,0.652,0.132
Kenya,2022,4.448,8.499,0.691,58.9,0.706,0.294,0.878,0.725,0.281
Kosovo,2022,6.16,9.416,0.888,NA,0.865,0.211,0.846,0.549,0.142
Kyrgyzstan,2022,5.668,8.517,0.927,67.375,0.948,0.236,0.876,0.646,0.204
Latvia,2022,6.055,10.407,0.928,66.5,0.817,0.019,0.844,0.632,0.161
Lebanon,2022,2.352,9.428,0.535,66.225,0.45,-0.126,0.883,0.298,0.43
Liberia,2022,4.042,7.277,0.597,56.7,0.732,0.154,0.828,0.637,0.439
Lithuania,2022,7.038,10.602,0.937,67.75,0.71,-0.191,0.685,0.471,0.132
Luxembourg,2022,7.228,11.66,0.878,71.675,0.915,0.024,0.345,0.718,0.218
Madagascar,2022,4.019,7.29,0.642,58.05,0.523,0.075,0.74,0.687,0.345
Malawi,2022,3.356,7.296,0.503,58.75,0.744,0.02,0.755,0.536,0.329
Mali,2022,4.211,7.645,0.642,55.8,0.818,-0.019,0.746,0.655,0.408
Malta,2022,6.299,NA,0.932,71.65,0.838,NA,0.758,0.671,0.37
Mauritania,2022,4.724,8.591,0.648,60.475,0.624,-0.013,0.657,0.631,0.389
Mauritius,2022,5.741,10.007,0.887,63.825,0.798,-0.038,0.769,0.725,0.168
Mexico,2022,7.038,9.876,0.858,65.8,0.861,-0.121,0.78,0.818,0.205
Moldova,2022,5.687,9.54,0.817,65.7,0.829,-0.087,0.885,0.552,0.276
Mongolia,2022,5.788,9.388,0.951,60.6,0.717,0.214,0.847,0.55,0.209
Morocco,2022,4.596,8.996,0.564,64,0.795,-0.254,0.802,0.573,0.414
Mozambique,2022,4.74,7.12,0.711,51.75,0.884,0.047,0.688,0.629,0.351
Namibia,2022,4.949,9.132,0.808,57.225,0.683,-0.12,0.849,0.676,0.261
Nepal,2022,5.474,8.285,0.753,62.125,0.844,0.153,0.76,0.473,0.342
Netherlands,2022,7.39,10.981,0.929,71.625,0.868,0.224,0.459,0.711,0.198
New Zealand,2022,6.975,10.682,0.956,70.425,0.831,0.187,0.281,0.706,0.21
Nicaragua,2022,6.392,8.664,0.844,65.725,0.914,-0.001,0.57,0.787,0.339
Niger,2022,4.501,7.091,0.587,56.55,0.793,0.032,0.74,0.787,0.366
North Macedonia,2022,5.167,9.733,0.85,66.7,0.723,0.072,0.937,0.555,0.277
Norway,2022,7.295,11.111,0.927,71.55,0.939,0.185,0.314,0.759,0.211
Panama,2022,5.979,10.333,0.891,69,0.899,-0.121,0.887,0.821,0.259
Paraguay,2022,6.138,9.508,0.899,65.95,0.922,-0.011,0.839,0.821,0.238
Peru,2022,5.892,9.449,0.823,70.025,0.764,-0.178,0.884,0.755,0.378
Poland,2022,6.666,10.509,0.886,69.225,0.8,-0.207,0.667,0.594,0.14
Portugal,2022,5.953,10.487,0.862,71.375,0.903,-0.137,0.893,0.638,0.316
Romania,2022,6.437,10.404,0.83,67.175,0.836,-0.172,0.941,0.615,0.258
Russia,2022,6.044,10.203,0.92,65.325,0.776,-0.07,0.767,0.614,0.211
Saudi Arabia,2022,6.382,10.781,0.9,64.6,NA,-0.027,NA,0.677,0.205
Senegal,2022,4.907,8.18,0.609,60.3,0.758,0.052,0.854,0.813,0.287
Sierra Leone,2022,2.56,7.401,0.502,55.3,0.66,0.101,0.862,0.494,0.505
Slovenia,2022,6.723,10.644,0.942,71.225,0.93,0.101,0.762,0.625,0.242
South Korea,2022,5.95,10.726,0.81,73.925,0.723,0.003,0.747,0.585,0.233
Spain,2022,6.337,10.587,0.934,72.475,0.781,0.001,0.673,0.636,0.32
State of Palestine,2022,4.908,NA,0.86,NA,0.695,NA,0.836,0.584,0.362
Sweden,2022,7.431,10.913,0.949,72.275,0.939,0.234,0.213,0.75,0.163
Switzerland,2022,6.884,11.184,0.881,73.1,0.848,0.128,0.235,0.71,0.18
Taiwan Province of China,2022,6.607,NA,0.883,NA,0.8,NA,0.658,0.717,0.095
Tanzania,2022,3.616,7.872,0.6,59.85,0.856,0.136,0.584,0.707,0.195
Thailand,2022,6.007,9.777,0.867,68.525,0.881,0.301,0.868,0.773,0.218
Togo,2022,4.239,7.685,0.579,57.7,0.696,0.007,0.713,0.594,0.414
Tunisia,2022,4.261,9.266,0.755,67.05,0.474,-0.231,0.908,0.458,0.304
Ukraine,2022,4.637,9.049,0.863,64.675,0.829,0.428,0.852,0.527,0.39
United Arab Emirates,2022,6.738,11.202,0.798,66.45,0.932,0.171,NA,0.715,0.242
United Kingdom,2022,6.722,10.754,0.863,70.4,0.857,0.309,0.426,0.723,0.27
United States,2022,6.693,11.079,0.9,65.725,0.736,0.191,0.701,0.712,0.267
Uruguay,2022,6.671,10.084,0.905,67.5,0.878,-0.052,0.631,0.775,0.267
Uzbekistan,2022,6.016,8.99,0.879,65.6,0.959,0.309,0.616,0.741,0.225
Venezuela,2022,5.949,NA,0.899,63.875,0.77,NA,0.798,0.754,0.292
Vietnam,2022,6.267,9.333,0.879,65.6,0.975,-0.179,0.703,0.774,0.108
Zimbabwe,2022,3.296,7.67,0.666,54.525,0.652,-0.07,0.753,0.641,0.191
