"behavior","treatment","satisfaction"
"Negative","Good",4
"Negative","Bad",5
"Positive","Bad",2
"Positive","Good",8
"Negative","Bad",7
"Negative","Good",4
"Negative","Good",3
"Positive","Bad",4
"Negative","Good",2
"Positive","Bad",3
"Positive","Bad",5
"Negative","Good",4
"Negative","Good",6
"Positive","Bad",1
"Positive","Good",7
"Negative","Bad",8
"Positive","Bad",3
"Positive","Good",6
"Negative","Bad",7
"Positive","Good",6
"Negative","Good",5
"Positive","Bad",4
"Positive","Bad",3
"Positive","Good",6
"Negative","Good",3
"Positive","Bad",5
"Negative","Good",3
"Positive","Bad",5
"Negative","Good",4
"Positive","Bad",1
